listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags
sale,3 Bedroom House,5995000,3,2,888 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117052268,,,"Modern 3-Bedroom Home in Wilde Paarde Country Estate

Set on a generous 888m² stand, this modern home offers secure estate living ...",,https://images.prop24.com/375599489/Crop600x400,9500,114000,1.9,False,
sale,2 Bedroom Apartment,1300000,2,1,85 m²,Paarl Central,Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/117020071,,,"-SOLE MANDATE- Conveniently located close to Akademia, this property combines space, practicality, and lovely mountain views.

The ...",,https://images.prop24.com/41199432/Ensure264x153,9500,114000,8.77,True,mandate
sale,1 Bedroom Apartment,2200000,1,1,54 m²,"30 Omnipark Building, 156 C/o Main and Zion",Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/116986871,,,"Exclusive Sole Mandate -

This stylish one bedroom, one bathroom apartment is fully ...",,https://images.prop24.com/373504379/Ensure264x153,7000,84000,3.82,False,mandate
sale,2 Bedroom Apartment,1650000,2,1,56 m²,Hoog En Droog,Hoog En Droog,Paarl,https://www.property24.com/for-sale/hoog-en-droog/paarl/western-cape/16385/116903591,,,"Sole mandate. 
Own exclusivity to a small, quiet, new-yet-established block.
Verdi is situated in the popular Lane area with easy ...",,https://images.prop24.com/310646377/Ensure264x153,9500,114000,6.91,False,mandate
sale,3 Bedroom House,1037583,3,1,163 m²,Dalvale,Dalvale,Paarl,https://www.property24.com/for-sale/dalvale/paarl/western-cape/8625/117034157,,,"Completion planned for April 2026

Perfectly situated between Jan van Riebeeck Drive and Bartolomeu Road, Paarl Mountain Ridge offers ...",,https://images.prop24.com/347808431/Crop600x400,9500,114000,10.99,True,
sale,3 Bedroom House,5890000,3,3,909 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116983804,,,"Positioned in the sought after suburb of Vrykyk, Paarl, this spacious and flexible property offers comfortable family living with the ...",,https://images.prop24.com/375031539/Crop600x400,9500,114000,1.94,False,
sale,3 Bedroom Apartment,2200000,3,2,103 m²,Paarl Central,Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/116995018,,,"Spacious and well-maintained 3-bedroom apartment offering comfort, convenience, and modern living. This beautiful home features a ...",,https://images.prop24.com/375226892/Crop600x400,9500,114000,5.18,False,
sale,1 Bedroom Apartment,4750000,1,1,80 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/116958996,,,"Situated in the sought-after Polo Village Apartments within Val de Vie Estate, this stylish one-bedroom apartment offers a perfect ...",,https://images.prop24.com/255290839/Ensure264x153,7000,84000,1.77,False,
sale,3 Bedroom House,4480000,3,2,403 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/116976751,,,"Exclusive sole mandate. 

This beautifully maintained single level home offers secure estate living with a wonderful sense of space ...",,https://images.prop24.com/361864461/Ensure264x153,9500,114000,2.54,False,mandate
sale,3 Bedroom House,2895000,3,2,605 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/116954343,,,"-SOLE MANDATE- Situated in Northern Paarl, this generous home offers excellent space and a versatile layout, ideal for extended family ...",,https://images.prop24.com/41199432/Ensure264x153,9500,114000,3.94,False,mandate
